placename,alma_id,title,date,start_year,end_year,ie_id,image_id
Foster,9917992573607636,"Foster [Gippsland, Vic.] [picture].",1929 Mar.,1929,1929,IE1906830,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1906830:FL21100245.jpg
Foster,9917978903607636,"Bush Fire, Foster, Gippsland, Vic..",[1907?],1907,1907,IE1470372,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1470372:FL21265293.jpg
Foster,9917978893607636,"Deep Creek bridge, near Foster [Vic.] [picture].",[ca. 1907],1907,1907,IE1355560,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1355560:FL20984229.jpg
Foster,9917978823607636,"Post Office Square, 1907 [Vic.] [picture].",1907.,1907,1907,IE1446577,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1446577:FL20999256.jpg
Foster,9917734093607636,[Foster and the railway line going into the town] [picture],"January 1, 1892.",1892,1892,IE856489,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE856489:FL21075737.jpg
Franklin,9917211943607636,Interior of the crater at Mount Franklin.,[1877],1877,1877,IE511663,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE511663:FL21225430.jpg
Frankston,9917679633607636,FRANKSTON. [picture],"December 18, 1886.",1886,1886,IE625524,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE625524:FL21066253.jpg
Frankston,9916417723607636,"CENTRAL CAR PARK, FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE878566,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE878566:FL21258807.jpg
Frankston,9918111783607636,"August 20th. An afternoon at Frankston (Hobson's Bay), 1910 [art original] / Robert J. Haddon.",[ca. 1927],1927,1927,IE789803,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE789803:FL20900873.jpg
Frankston,9917696493607636,"THE MODERN SHOPPING CENTRE, FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE889195,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE889195:FL21246713.jpg
Frankston,9917667873607636,"Post Office, & Portion Of The Shopping Centre, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE866318,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE866318:FL21256698.jpg
Frankston,9917335863607636,"The Squash Courts, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE866471,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE866471:FL21240619.jpg
Frankston,9917332893607636,"Oliver's Hill, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE876757,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE876757:FL21252215.jpg
Frankston,9917324123607636,"The Main Street, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE874717,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE874717:FL21256821.jpg
Frankston,9917062393607636,Frankston Post Office [picture],[1917-1930],1917,1930,IE527066,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE527066:FL21226046.jpg
Frankston,9940965718207636,Scenes around Frankston.,1891.,1891,1891,IE23084292,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE23084292:FL23084582.jpg
Frankston,9940965718107636,Scenes around Frankston.,1891.,1891,1891,IE23084337,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE23084337:FL23084592.jpg
Frankston,9917338363607636,"Main Street, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE864923,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE864923:FL21254919.jpg
Frankston,9919018333607636,"Olivers Hill, Frankston, Vic. [picture].",[ca. 1930],1930,1930,IE1884083,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1884083:FL21108158.jpg
Frankston,9918885263607636,"Olivers Hill [Frankston, Victoria] [picture].",[ca. 1930],1930,1930,IE1911739,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE1911739:FL21108376.jpg
Frankston,9918112183607636,September 13th. At Frankston. Vic. [art original] / Robert J. Haddon.,[ca. 1927],1927,1927,IE703716,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE703716:FL20900509.jpg
Frankston,9918107283607636,"February 22nd. Summer weather on the heights of Frankston, Nov. 1921 [art original] / Robert Joseph Haddon.",[1924],1924,1924,IE601954,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE601954:FL20900741.jpg
Frankston,9917728883607636,"THE FERNERY, FRANKSTON, VIC. [picture]",[c1920-1954],1954,1954,IE878942,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE878942:FL21240409.jpg
Frankston,9917676493607636,SCENE ON FRANKSTON CREEK [VIC.] [picture],"October 16, 1886.",1886,1886,IE709945,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE709945:FL21067356.jpg
Frankston,9917666563607636,"Oliver's Hill, Frankston, Vic.",[between 1920 and 1954?],1920,1954,IE878226,https://rosetta.slv.vic.gov.au:2083/iiif/2/IE878226:FL21250881.jpg
