alma_id,title,date,publisher,format,genre,lds03,placename,place_id,feature_type_code,longitude,latitude,trove_note,trove_url,id
9913951933607636,"Star, Greater Dandenong.",2007-2013,Pakenham Vic. : Star News Group,v. ; 41 cm.,Newspapers,Australia--Victoria--Pakenham | Australia--Victoria--Dandenong | Australia--Victoria--Greater Dandenong,Pakenham,102444.0,LOCB,145.487804,-38.0710454,,,a9913951933607636
9913951933607636,"Star, Greater Dandenong.",2007-2013,Pakenham Vic. : Star News Group,v. ; 41 cm.,Newspapers,Australia--Victoria--Pakenham | Australia--Victoria--Dandenong | Australia--Victoria--Greater Dandenong,Dandenong,100920.0,LOCB,145.2138952,-37.985583,,,a9913951933607636
9913951933607636,"Star, Greater Dandenong.",2007-2013,Pakenham Vic. : Star News Group,v. ; 41 cm.,Newspapers,Australia--Victoria--Pakenham | Australia--Victoria--Dandenong | Australia--Victoria--Greater Dandenong,Greater Dandenong City,10756.0,LGA,145.1901448,-38.0040147,,,a9913951933607636
9913336863607636,Moorabool express telegraph.,2007-2010,Melton Vic. : Fairfax Community Network,v. ; 41 cm.,Newspapers,Australia--Victoria--Moorabool | Australia--Victoria--Melton | Australia--Victoria--Ballan,Moorabool,102129.0,LOCB,144.2771786,-38.0421963,,,a9913336863607636
9913336863607636,Moorabool express telegraph.,2007-2010,Melton Vic. : Fairfax Community Network,v. ; 41 cm.,Newspapers,Australia--Victoria--Moorabool | Australia--Victoria--Melton | Australia--Victoria--Ballan,Melton,102003.0,LOCB,144.6128066,-37.6778432,,,a9913336863607636
9913336863607636,Moorabool express telegraph.,2007-2010,Melton Vic. : Fairfax Community Network,v. ; 41 cm.,Newspapers,Australia--Victoria--Moorabool | Australia--Victoria--Melton | Australia--Victoria--Ballan,Ballan,100237.0,LOCB,144.219764,-37.6038129,,,a9913336863607636
9913321203607636,Hobsons Bay leader.,2007-2016,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Hobsons Bay | Australia--Victoria--Newport | Australia--Victoria--Altona,Hobsons Bay City,11801.0,LGA,144.8359782,-37.8492924,,,a9913321203607636
9913321203607636,Hobsons Bay leader.,2007-2016,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Hobsons Bay | Australia--Victoria--Newport | Australia--Victoria--Altona,Newport,102340.0,LOCB,144.8826882,-37.8454803,,,a9913321203607636
9913321203607636,Hobsons Bay leader.,2007-2016,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Hobsons Bay | Australia--Victoria--Newport | Australia--Victoria--Altona,Altona,100154.0,LOCB,144.8227263,-37.8632435,,,a9913321203607636
9913321083607636,Maribyrnong leader.,2007-2019,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Maribyrnong | Australia--Victoria--Newport | Australia--Victoria--Footscray,Maribyrnong,101959.0,LOCB,144.8873503,-37.772405,,,a9913321083607636
9913321083607636,Maribyrnong leader.,2007-2019,Newport Vic. : Times Publications Holdings,v. ; 41 cm.,Newspapers,Australia--Victoria--Maribyrnong | Australia--Victoria--Newport | Australia--Victoria--Footscray,Newport,102340.0,LOCB,144.8826882,-37.8454803,,,a9913321083607636
