mms,title,lds19,publisher,format,genre,lds03,trove_note,trove_url,
9920300063607636,"Broadford courier (Broadford, Vic. : 1916) | The Broadford courier.",1916-1978,"Broadford, Vic. : Printed and published by Wm. Mc Donald",v.,Newspapers,Australia--Victoria--Broadford,,http://nla.gov.au/nla.news-title131,Y
9920299833607636,"Broadford courier and Reedy Creek times (Broadford, Vic. : 1893) | Broadford courier and Reedy Creek times.",1893-1916,"Broadford, Vic. : T.W. Rashleigh",v.,Newspapers,Australia--Victoria--Broadford,,http://nla.gov.au/nla.news-title130,Y
9920299703607636,Broadford courier.,1891-1893,"Broadford, Vic. : John Coates",v.,Newspapers,Australia--Victoria--Broadford,,http://nla.gov.au/nla.news-title129,Y
9916406583607636,"The Melbourne advertiser, Port Phillip, Australia : written for and published by John P. Fawkner.",1838-1838,Melbourne : J.P. Fawkner,1 v. ; 32 cm.,Newspapers | Periodicals,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title935,Y
9913005523607636,The Dandenong journal [microform].,1927-1972,"Dandenong, Vic. : Roulston & Roulston",v. : ill. ; 43 cm.,Newspapers,Australia--Victoria--Dandenong,,http://nla.gov.au/nla.news-title901,Y
9911337633607636,The Portland mercury and Normanby advertiser.,1842-1843,"Portland, Vic. : Robert Fisher",v.,Newspapers,Australia--Victoria--Portland,,http://nla.gov.au/nla.news-title1899,Y
9911165203607636,Kilmore free press and counties of Bourke and Dalhousie advertiser [microform].,1865-1868,"Kilmore, Vic. : Thomas Hunt",v.,Newspapers,Australia--Victoria--Kilmore,,http://nla.gov.au/nla.news-title126,Y
9910431623607636,"Australian Jewish herald (Melbourne, Vic. : 1920) | The Australian Jewish herald.",1920-1933,Melbourne : Alex Mckinley & Co.,,Newspapers | Periodicals,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1684,Y
9910430113607636,"Australian Jewish herald (Melbourne, Vic. : 1935) | The Australian Jewish herald.",1935-1968,South Melbourne : Andersons' Printing and Publishing Co. Pty Ltd.,90 v. : ill. ; 37 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1696,Y
9910394113607636,The Moe register and Narracan shire advocate.,1888-1889,"Moe, Vic. : George Green",v.,Newspapers,Australia--Victoria--Moe,,http://nla.gov.au/nla.news-title1570,Y
9910377693607636,"Journal (Traralgon, Vic.) | The journal [microform] : Glengarry, Toongabbie and Cowwarr journal.",1923-1962,"Traralgon, Vic. : H. Chappell",v. ; 41   cm.,Newspapers,Australia--Victoria--Traralgon,,http://nla.gov.au/nla.news-title1871,Y
9910362753607636,"Sun news-pictorial (Melbourne, Vic.) | The Sun news-pictorial.",1922-1990,Melbourne : Sun Newspaper Melbourne Ltd.,v. : ill. ; 41 cm.,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1191,Y
9910311773607636,The Warragul guardian.,1895-1960,"Warragul, Vic. : W.B. Harvey",v. ; 58 cm.,Newspapers,Australia--Victoria--Warragul,,http://nla.gov.au/nla.news-title139,Y
9910311733607636,Warragul guardian and West Gippsland advertiser.,1894-1894,Warragul Vic. : W.B. Harvey & W. Chappell,v. ; 58 cm.,Newspapers,Australia--Victoria--Warragul,,http://nla.gov.au/nla.news-title138,Y
9910311713607636,Warragul guardian and Buln Buln and Narracan shire advocate.,1879-1894,"Warragul, Vic. : Nind Bros.",v.,Newspapers,Australia--Victoria--Warragul,,http://nla.gov.au/nla.news-title137,Y
9910251903607636,"Evening echo (Ballarat, Vic.) | The evening echo.",1895-1929,Ballarat Vic. : Alfred H Powell,volumes : 62-68 cm,Newspapers,Australia--Victoria--Ballarat,,http://nla.gov.au/nla.news-title1325,Y
9910251373607636,"Banner (Melbourne, Vic.) | The Banner.",1853-1854,"Melbourne, Vic. : Printed and published for the proprietors by Hugh M'Coll",,Newspapers,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title805,Y
9910251283607636,Chiltern leader.,1896-1898,"Chiltern, Vic. : O'Hara and Hill",3 volumes ; 63-69 cm,Newspapers,Australia--Victoria--Chiltern,,http://nla.gov.au/nla.news-title1495,Y
9910249243607636,The Morwell advertiser and weekly chronicle.,1887-1888,"Morwell, Vic. : W. Seccombe and W.E. Kemp",,Newspapers,Australia--Victoria--Morwell,,http://nla.gov.au/nla.news-title132,Y
9910248923607636,"Elmore standard (Elmore, Vic.) | The Elmore standard.",1881-1969,Elmore Vic. : H. Cotton,v.,Newspapers,Australia--Victoria--Elmore,,http://nla.gov.au/nla.news-title1483,Y
9910248713607636,"Jewish weekly news (Melbourne, Vic.) | The Jewish weekly news.",1933-1935,Melbourne : Jewish weekly news,v. ; 44 cm.,Newspapers | Periodicals,Australia--Victoria--Melbourne,,http://nla.gov.au/nla.news-title1707,Y
9910248573607636,"Kyneton observer (Kyneton, Vic. : 1856) | The Kyneton observer.",1856-1858,"Kyneton, Vic. : George John Sands",volumes : 60 cm,Newspapers,Australia--Victoria--Kyneton,,http://nla.gov.au/nla.news-title1324,Y
9910230293607636,"The Ballan times and Egerton, Gordon, Blakeville and Myrniong standard.",1895-1899,"Ballan, Vic. : T.A. Colebrook",v.,Newspapers,Australia--Victoria--Ballan,,http://nla.gov.au/nla.news-title1765,Y
9910230263607636,"The Ballan times and Blackwood, Blakeville and Myrniong standard.",1893-1895,Ballan Vic. : W.H. Bosanko,v.,Newspapers,Australia--Victoria--Ballan,,http://nla.gov.au/nla.news-title1764,Y
9910230253607636,"The Ballan times and Gordon, Egerton, Wallace, Millbrook and Blackwood advertiser.",1890-1893,Ballan Vic. : W.H. Bosanko,v.,,Australia--Victoria--Ballan,,http://nla.gov.au/nla.news-title1763,Y
